                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.466,                 2.3746,                 1.2771,                0.66591,                0.57989,                0.61871,                0.42045,                 1.2244,                 1.3442,                 1.1987,               0.070058,              0.0033269,              0.0033269
                      1,                 1.3378,                  1.366,                 1.2377,                0.76859,                0.61958,                0.68534,                0.45311,                 1.3486,                 1.2562,                  1.276,               0.040025,              0.0066273,              0.0066273
                      2,                 1.3437,                 1.2562,                 1.2555,                0.79441,                0.62353,                0.71943,                0.46296,                 1.2984,                 1.2054,                 1.2735,               0.009959,              0.0098946,              0.0098946
                      3,                 1.3375,                 1.1964,                 1.2618,                0.83843,                0.62804,                 0.7224,                0.46426,                 1.2837,                 1.1563,                 1.2876,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.2938,                 1.0846,                 1.2422,                0.84334,                0.66786,                0.76156,                0.50883,                 1.2588,                0.98259,                 1.2469,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2563,                 1.0168,                 1.2236,                0.87003,                0.70583,                0.77948,                0.52215,                 1.2883,                0.89643,                 1.2622,               0.009802,               0.009802,               0.009802
                      6,                 1.2222,                0.96094,                 1.2064,                0.87805,                0.67758,                0.77956,                0.53661,                 1.2124,                0.85915,                 1.2284,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1961,                0.91495,                 1.1934,                0.90303,                0.70382,                0.81107,                0.55942,                 1.1603,                0.83265,                 1.2117,               0.009703,               0.009703,               0.009703
                      8,                 1.1713,                0.87694,                 1.1787,                0.86644,                0.70521,                0.79875,                0.55203,                 1.1476,                0.79874,                 1.2087,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1546,                0.85167,                 1.1738,                0.88187,                0.71074,                0.81355,                0.56346,                 1.1659,                0.76785,                 1.2141,               0.009604,               0.009604,               0.009604
                     10,                 1.1343,                0.82939,                 1.1624,                0.90041,                0.72887,                0.81672,                0.57147,                 1.1388,                0.74304,                 1.1883,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1161,                0.80198,                 1.1488,                0.88778,                0.73027,                0.82453,                0.58473,                 1.1313,                0.72589,                 1.1979,               0.009505,               0.009505,               0.009505
                     12,                 1.0932,                0.78305,                 1.1351,                0.87131,                0.73608,                0.82135,                0.57555,                 1.1466,                0.73337,                 1.1998,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0822,                0.76973,                 1.1329,                 0.9236,                0.72921,                0.82521,                0.58362,                 1.1365,                0.72513,                 1.2043,               0.009406,               0.009406,               0.009406
                     14,                 1.0717,                0.75534,                 1.1272,                0.91813,                0.71477,                0.82214,                0.56776,                 1.1356,                 0.7387,                 1.2099,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0556,                0.74177,                  1.119,                0.88349,                0.75835,                0.82926,                0.58414,                 1.1251,                0.69688,                 1.1957,               0.009307,               0.009307,               0.009307
                     16,                 1.0385,                0.71831,                 1.1109,                0.93183,                0.72691,                0.82854,                0.58708,                 1.1091,                0.71026,                 1.1927,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0308,                0.71531,                  1.106,                0.91167,                0.73171,                0.82393,                0.58631,                 1.1192,                0.69778,                 1.1984,               0.009208,               0.009208,               0.009208
                     18,                 1.0213,                0.70862,                 1.0992,                0.87097,                0.74312,                0.82232,                0.58011,                 1.1192,                0.70467,                 1.1986,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0018,                0.69051,                 1.0921,                0.91245,                0.74509,                0.83236,                0.58769,                 1.1141,                0.68332,                 1.1967,               0.009109,               0.009109,               0.009109
                     20,                0.99622,                0.68324,                 1.0875,                0.91635,                0.75319,                0.82653,                0.58738,                 1.1128,                0.68289,                 1.2035,              0.0090595,              0.0090595,              0.0090595
                     21,                0.98518,                0.67203,                  1.082,                0.92894,                0.74665,                0.83497,                  0.597,                 1.1027,                0.67372,                 1.1955,                0.00901,                0.00901,                0.00901
                     22,                0.97342,                0.65973,                 1.0749,                0.89039,                0.77202,                0.83722,                0.58961,                 1.1128,                0.67195,                 1.2072,              0.0089605,              0.0089605,              0.0089605
                     23,                0.96682,                0.65835,                 1.0749,                0.92338,                0.76009,                0.84538,                0.60596,                 1.0918,                0.63936,                 1.1887,               0.008911,               0.008911,               0.008911
                     24,                0.96119,                0.65106,                 1.0683,                0.91579,                0.76129,                0.83965,                 0.5932,                 1.1092,                0.64205,                 1.2073,              0.0088615,              0.0088615,              0.0088615
                     25,                0.95167,                0.64689,                 1.0673,                0.90728,                0.76244,                0.84349,                 0.6063,                 1.0904,                0.65444,                 1.1929,               0.008812,               0.008812,               0.008812
                     26,                0.93883,                 0.6299,                 1.0589,                0.90693,                0.77008,                0.83948,                0.59799,                 1.1039,                0.65464,                 1.2071,              0.0087625,              0.0087625,              0.0087625
                     27,                0.93372,                0.62596,                 1.0543,                0.87266,                 0.7825,                0.84301,                0.59966,                 1.0914,                0.63572,                 1.2001,               0.008713,               0.008713,               0.008713
                     28,                0.92994,                0.62363,                 1.0542,                0.87618,                0.76902,                0.83855,                0.60441,                 1.0828,                0.64085,                 1.1942,              0.0086635,              0.0086635,              0.0086635
                     29,                0.91688,                0.61066,                 1.0464,                0.89994,                0.76958,                0.83916,                0.60161,                 1.0888,                0.63766,                 1.2054,               0.008614,               0.008614,               0.008614
                     30,                0.91316,                0.60628,                 1.0459,                0.91066,                 0.7766,                 0.8471,                0.60474,                 1.0902,                0.61934,                 1.1929,              0.0085645,              0.0085645,              0.0085645
                     31,                0.90552,                 0.6023,                 1.0425,                0.90135,                0.77037,                0.84434,                0.60983,                 1.0874,                0.62999,                  1.197,               0.008515,               0.008515,               0.008515
                     32,                0.90259,                0.59803,                 1.0386,                0.91134,                0.75508,                0.84415,                0.60872,                  1.087,                0.62529,                 1.1977,              0.0084655,              0.0084655,              0.0084655
                     33,                0.89505,                0.59498,                 1.0367,                  0.925,                0.76983,                0.84623,                0.60464,                 1.0829,                0.61883,                 1.1998,               0.008416,               0.008416,               0.008416
                     34,                0.89836,                0.59764,                 1.0377,                 0.9203,                0.76453,                0.85077,                0.60626,                 1.0911,                0.61227,                 1.2026,              0.0083665,              0.0083665,              0.0083665
                     35,                 0.8831,                 0.5803,                  1.028,                0.90758,                0.77876,                0.84943,                0.61583,                  1.055,                 0.6197,                 1.1785,               0.008317,               0.008317,               0.008317
                     36,                0.88301,                0.58124,                 1.0259,                0.93059,                0.76574,                0.84881,                0.60762,                 1.0846,                0.61648,                 1.2041,              0.0082675,              0.0082675,              0.0082675
                     37,                0.87894,                0.58198,                 1.0271,                0.89898,                0.77821,                0.85168,                0.61082,                 1.0758,                0.60961,                 1.2027,               0.008218,               0.008218,               0.008218
                     38,                0.87315,                0.57609,                 1.0248,                 0.9311,                0.75958,                0.84699,                 0.6111,                 1.0633,                0.61862,                 1.1865,              0.0081685,              0.0081685,              0.0081685
                     39,                0.86942,                0.56877,                 1.0236,                0.90977,                0.78372,                0.85339,                0.61023,                 1.0858,                0.60845,                 1.2102,               0.008119,               0.008119,               0.008119
                     40,                0.86682,                0.56862,                 1.0237,                0.91126,                0.77284,                0.84887,                  0.613,                 1.0735,                0.62019,                 1.2022,              0.0080695,              0.0080695,              0.0080695
                     41,                0.85801,                0.56348,                 1.0182,                0.91196,                0.78042,                0.85436,                 0.6199,                 1.0593,                0.59891,                 1.1953,                0.00802,                0.00802,                0.00802
                     42,                0.85045,                 0.5596,                 1.0153,                0.91067,                0.78162,                0.85189,                0.61327,                 1.0783,                0.60411,                 1.2046,              0.0079705,              0.0079705,              0.0079705
                     43,                0.84673,                 0.5545,                 1.0126,                0.90869,                0.78149,                0.84931,                0.61271,                 1.0637,                 0.6002,                 1.1908,               0.007921,               0.007921,               0.007921
                     44,                0.84996,                 0.5582,                 1.0149,                0.90879,                0.78532,                 0.8543,                0.61113,                 1.0772,                0.60741,                 1.2028,              0.0078715,              0.0078715,              0.0078715
                     45,                0.83831,                0.54306,                 1.0106,                0.90515,                0.77784,                 0.8516,                0.61485,                 1.0723,                0.60567,                  1.204,               0.007822,               0.007822,               0.007822
                     46,                0.83849,                0.54676,                 1.0059,                0.91291,                0.77855,                 0.8531,                0.61875,                 1.0639,                 0.5957,                 1.2002,              0.0077725,              0.0077725,              0.0077725
                     47,                0.83521,                0.54615,                 1.0094,                0.91419,                 0.7805,                0.84941,                0.61235,                 1.0696,                0.60114,                 1.2023,               0.007723,               0.007723,               0.007723
                     48,                0.82769,                0.54091,                 1.0033,                0.91315,                0.79033,                0.85552,                0.62065,                 1.0642,                0.58973,                 1.1987,              0.0076735,              0.0076735,              0.0076735
                     49,                0.82643,                0.53989,                 1.0038,                0.90283,                0.78494,                 0.8556,                0.62172,                  1.066,                0.60073,                 1.2043,               0.007624,               0.007624,               0.007624
                     50,                0.82229,                0.53618,                0.99915,                 0.9194,                 0.7761,                0.85321,                0.62014,                 1.0664,                 0.5985,                 1.1971,              0.0075745,              0.0075745,              0.0075745
                     51,                0.82027,                0.53382,                  1.002,                0.92723,                0.78173,                0.85574,                0.61503,                 1.0657,                 0.5867,                 1.2006,               0.007525,               0.007525,               0.007525
                     52,                 0.8171,                0.53321,                0.99845,                0.91614,                0.79474,                0.85799,                0.61933,                 1.0607,                0.58715,                 1.1963,              0.0074755,              0.0074755,              0.0074755
                     53,                0.81497,                0.52695,                0.99854,                0.91478,                0.78935,                 0.8566,                0.62236,                 1.0605,                0.59323,                 1.2027,               0.007426,               0.007426,               0.007426
                     54,                0.81187,                0.52659,                0.99581,                0.92015,                0.77935,                0.85814,                 0.6244,                 1.0494,                 0.5899,                 1.1961,              0.0073765,              0.0073765,              0.0073765
                     55,                0.80472,                0.52166,                0.99358,                0.91255,                0.77693,                 0.8555,                0.62138,                 1.0477,                0.58947,                  1.195,               0.007327,               0.007327,               0.007327
                     56,                0.80722,                0.52304,                0.99358,                0.90328,                0.79589,                0.85839,                0.62018,                 1.0495,                0.59142,                 1.1943,              0.0072775,              0.0072775,              0.0072775
                     57,                0.80037,                0.51621,                0.98876,                 0.9128,                0.79273,                0.85772,                0.62251,                 1.0654,                0.58972,                  1.206,               0.007228,               0.007228,               0.007228
                     58,                0.79756,                0.51435,                0.98776,                0.90445,                0.79346,                0.86009,                0.62318,                 1.0615,                0.59098,                 1.2028,              0.0071785,              0.0071785,              0.0071785
                     59,                0.78854,                0.50847,                0.98335,                 0.9124,                 0.8004,                0.86158,                0.62321,                 1.0591,                0.58041,                 1.2044,               0.007129,               0.007129,               0.007129
                     60,                0.79223,                 0.5116,                0.98519,                0.92051,                0.78932,                0.86323,                0.62741,                 1.0565,                 0.5767,                 1.1986,              0.0070795,              0.0070795,              0.0070795
                     61,                0.79246,                0.51283,                0.98602,                0.92097,                0.78754,                0.86134,                0.62612,                 1.0538,                0.58368,                 1.2002,                0.00703,                0.00703,                0.00703
                     62,                0.78483,                0.50638,                0.98512,                0.91845,                0.79529,                0.86158,                0.62499,                 1.0584,                0.57848,                 1.2033,              0.0069805,              0.0069805,              0.0069805
                     63,                0.78124,                0.50374,                0.98203,                0.90794,                0.80122,                0.85858,                0.62675,                 1.0521,                0.57587,                  1.201,               0.006931,               0.006931,               0.006931
                     64,                0.78298,                0.50607,                0.98122,                 0.9155,                0.79897,                0.86243,                0.62419,                 1.0479,                0.58106,                 1.2009,              0.0068815,              0.0068815,              0.0068815
                     65,                0.78098,                0.50037,                0.98354,                0.89896,                0.80967,                 0.8626,                0.62491,                  1.049,                0.57728,                 1.1982,               0.006832,               0.006832,               0.006832
                     66,                0.78097,                0.50294,                0.98041,                0.91725,                0.79448,                0.86175,                 0.6247,                 1.0507,                0.58084,                 1.2023,              0.0067825,              0.0067825,              0.0067825
                     67,                0.78264,                0.50368,                0.98223,                0.92152,                0.79259,                0.86426,                0.62967,                 1.0494,                0.57422,                 1.2004,               0.006733,               0.006733,               0.006733
                     68,                0.77669,                0.49897,                0.98055,                0.89506,                0.80672,                0.86256,                0.62964,                 1.0521,                0.58294,                 1.1993,              0.0066835,              0.0066835,              0.0066835
                     69,                0.76619,                0.49295,                0.97523,                0.92163,                0.78837,                0.86209,                0.62896,                 1.0547,                0.58326,                  1.204,               0.006634,               0.006634,               0.006634
                     70,                 0.7687,                0.49313,                 0.9757,                 0.9165,                0.78718,                0.86302,                0.62773,                 1.0561,                0.57693,                 1.2022,              0.0065845,              0.0065845,              0.0065845
                     71,                0.76699,                0.49308,                0.97641,                0.91946,                0.79153,                0.86586,                 0.6308,                  1.052,                0.57379,                 1.2015,               0.006535,               0.006535,               0.006535
                     72,                0.76041,                0.48639,                0.97178,                 0.9202,                0.78844,                0.86528,                0.63068,                 1.0437,                0.56936,                 1.1975,              0.0064855,              0.0064855,              0.0064855
                     73,                0.76279,                0.48733,                0.97116,                0.91905,                0.79663,                0.86424,                0.62942,                 1.0486,                0.57342,                 1.2035,               0.006436,               0.006436,               0.006436
                     74,                0.75979,                 0.4858,                0.97226,                0.90172,                0.80791,                0.86321,                0.62739,                 1.0535,                0.57668,                 1.2048,              0.0063865,              0.0063865,              0.0063865
                     75,                0.75481,                 0.4849,                0.97098,                 0.9175,                0.79263,                0.86205,                0.62871,                 1.0531,                0.57527,                 1.2062,               0.006337,               0.006337,               0.006337
                     76,                0.75225,                0.48134,                0.96844,                0.92273,                 0.7921,                0.86524,                0.63013,                 1.0456,                0.56906,                 1.2047,              0.0062875,              0.0062875,              0.0062875
                     77,                0.74912,                0.48044,                0.96672,                0.92319,                0.78892,                0.86567,                0.63276,                 1.0479,                0.56708,                 1.2059,               0.006238,               0.006238,               0.006238
                     78,                0.74978,                 0.4818,                0.96812,                0.92545,                0.78182,                0.86448,                0.63335,                 1.0416,                0.56837,                 1.2009,              0.0061885,              0.0061885,              0.0061885
                     79,                0.74784,                0.48058,                0.97031,                0.89775,                0.80161,                0.86543,                 0.6279,                 1.0455,                0.57113,                 1.2051,               0.006139,               0.006139,               0.006139
                     80,                 0.7486,                0.47817,                0.96648,                0.91777,                0.79553,                0.86465,                0.63001,                 1.0481,                0.56954,                 1.2065,              0.0060895,              0.0060895,              0.0060895
                     81,                0.74204,                0.47228,                0.96657,                0.91977,                0.79433,                0.85981,                0.62863,                 1.0479,                0.56719,                 1.2068,                0.00604,                0.00604,                0.00604
                     82,                0.74003,                0.47479,                0.96488,                0.90716,                0.79989,                0.86026,                0.62872,                 1.0491,                0.56599,                 1.2062,              0.0059905,              0.0059905,              0.0059905
                     83,                0.73595,                0.46851,                0.96087,                0.91797,                0.79107,                0.86114,                0.63116,                 1.0479,                0.57293,                 1.2048,               0.005941,               0.005941,               0.005941
                     84,                0.73836,                0.47207,                0.96405,                0.91657,                0.79276,                0.86047,                0.62881,                  1.047,                0.57692,                 1.2062,              0.0058915,              0.0058915,              0.0058915
                     85,                0.73804,                0.47084,                 0.9629,                0.92664,                0.79179,                0.86444,                0.63062,                 1.0517,                0.57434,                 1.2091,               0.005842,               0.005842,               0.005842
                     86,                0.73049,                0.46921,                0.96111,                 0.9216,                0.79267,                0.86332,                0.63065,                 1.0493,                0.57179,                 1.2091,              0.0057925,              0.0057925,              0.0057925
                     87,                0.73072,                0.46903,                0.95985,                0.92844,                0.79615,                0.86645,                0.63332,                 1.0477,                0.56688,                 1.2095,               0.005743,               0.005743,               0.005743
                     88,                0.72793,                0.46585,                0.95912,                0.90926,                0.80922,                0.86644,                0.63164,                 1.0474,                0.56204,                 1.2121,              0.0056935,              0.0056935,              0.0056935
                     89,                0.72597,                0.46272,                0.95805,                0.92967,                0.79034,                 0.8667,                0.63295,                 1.0466,                0.56426,                 1.2113,               0.005644,               0.005644,               0.005644
                     90,                 0.7271,                0.46166,                0.95626,                0.92275,                0.80158,                0.86535,                0.63192,                  1.046,                0.56387,                 1.2123,              0.0055945,              0.0055945,              0.0055945
                     91,                0.72372,                0.46058,                0.95584,                0.92909,                0.79608,                0.86563,                0.63148,                 1.0447,                0.56302,                 1.2104,               0.005545,               0.005545,               0.005545
                     92,                0.72068,                0.45882,                0.95605,                0.93107,                0.79501,                0.86594,                0.63182,                 1.0445,                0.56559,                  1.211,              0.0054955,              0.0054955,              0.0054955
                     93,                0.71897,                0.46064,                0.95513,                0.92801,                0.79623,                 0.8651,                0.63137,                 1.0419,                 0.5643,                 1.2101,               0.005446,               0.005446,               0.005446
                     94,                0.71479,                  0.454,                0.95301,                0.93077,                0.79752,                 0.8646,                0.62928,                 1.0438,                0.56493,                 1.2115,              0.0053965,              0.0053965,              0.0053965
                     95,                0.71716,                0.45833,                0.95553,                0.92153,                  0.796,                0.86397,                0.63079,                 1.0418,                0.56788,                 1.2103,               0.005347,               0.005347,               0.005347
                     96,                0.71036,                0.45165,                 0.9496,                0.92672,                0.79626,                0.86433,                0.63088,                 1.0411,                0.56777,                 1.2095,              0.0052975,              0.0052975,              0.0052975
                     97,                   0.71,                0.45227,                0.95094,                0.92117,                0.80143,                0.86456,                0.63181,                 1.0407,                0.56781,                 1.2091,               0.005248,               0.005248,               0.005248
                     98,                  0.708,                0.44928,                 0.9504,                0.92261,                0.80034,                 0.8648,                0.63169,                 1.0409,                0.56744,                 1.2095,              0.0051985,              0.0051985,              0.0051985
                     99,                0.70395,                 0.4507,                0.94744,                 0.9174,                0.80318,                0.86491,                0.63208,                 1.0392,                0.56567,                 1.2083,               0.005149,               0.005149,               0.005149
                    100,                0.70826,                0.44978,                  0.949,                0.92076,                0.80172,                0.86585,                0.63094,                 1.0415,                0.56399,                 1.2099,              0.0050995,              0.0050995,              0.0050995
                    101,                0.70372,                0.44878,                0.94891,                0.92069,                0.80005,                0.86454,                0.63092,                 1.0416,                0.56395,                 1.2108,                0.00505,                0.00505,                0.00505
                    102,                0.70326,                 0.4451,                0.94659,                0.92068,                0.80196,                0.86453,                0.63077,                 1.0417,                0.56365,                 1.2112,              0.0050005,              0.0050005,              0.0050005
